sheet,position_no,title_th,org_unit_code,position_type_code
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-202 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-203 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-204 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-205 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-162 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-163 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4201-084 (ถ),เจ้าพนักงานการเงินและบัญชี,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-206 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-207 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-208 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-209 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-164 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-165 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4201-085 (ถ),เจ้าพนักงานการเงินและบัญชี,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-210 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-211 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-212 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-213 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-166 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-167 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4201-086 (ถ),เจ้าพนักงานการเงินและบัญชี,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-214 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-215 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-216 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-218 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-168 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-169 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-170 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3605-034 (ถ),แพทย์แผนไทย,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4101-080 (ถ),เจ้าพนักงานธุรการ,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4201-087 (ถ),เจ้าพนักงานการเงินและบัญชี,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4601-047 (ถ),เจ้าพนักงานสาธารณสุข,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4609-018 (ถ),เจ้าพนักงานทันตสาธารณสุข,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-219 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-220 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-221 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3601-223 (ถ),นักวิชาการสาธารณสุข,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-171 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-172 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3602-173 (ถ),พยาบาลวิชาชีพ,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-3605-035 (ถ),แพทย์แผนไทย,SS,ACADEMIC
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4101-081 (ถ),เจ้าพนักงานธุรการ,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4201-088 (ถ),เจ้าพนักงานการเงินและบัญชี,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4601-048 (ถ),เจ้าพนักงานสาธารณสุข,SS,GENERAL
ขรก.ถ่ายโอน รพ.สต.,52-1-06-4609-019 (ถ),เจ้าพนักงานทันตสาธารณสุข,SS,GENERAL
